word,meaning,meaning_vi,phonetics,note,example,type,level
reader,"a person who reads, especially one who reads a lot or in a particular way","người đọc, độc giả",/ˈriːdə(r)/,"a person who reads, especially one who reads a lot or in a particular way",The author's writing style captivated the reader from the very first page.,noun,A1
reading,the activity of somebody who reads,"sự đọc, sự xem (sách, báo...)",/ˈriːdɪŋ/,the activity of somebody who reads,My hobbies include reading and painting.,noun,A1
ready,fully prepared for what you are going to do and able to start it immediately,(vị ngữ) sẵn sàng,/ˈredi/,fully prepared for what you are going to do and able to start it immediately,Just a minute - I'm almost ready.,adjective,A1
real,actually existing or happening and not imagined or pretended,thực; thực tế,/ˈriːəl/ /rɪəl/,actually existing or happening and not imagined or pretended,It's important to be your real self and not pretend to be someone you're not.,adjective,A1
really,used to emphasize an adjective or adverb,"thực sự, thật ra",/ˈriːəli/ /ˈrɪəli/,used to emphasize an adjective or adverb,That's a really good idea.,adverb,A1
reason,a cause or an explanation for something that has happened or that somebody has done,"lý do, lý lẽ",/ˈriːzn/,a cause or an explanation for something that has happened or that somebody has done,He said no but he didn't give a reason.,noun,A1
red,having the colour of blood or fire,màu đỏ,/red/,having the colour of blood or fire,He likes that red hat.,adjective,A1
relax,"to rest while you are doing something that you enjoy, especially after work or effort","giải trí, nghỉ ngơi, thư giãn",/rɪˈlæks/,"to rest while you are doing something that you enjoy, especially after work or effort",Just relax and enjoy the movie.,verb,A1
remember,to not forget to do something; to actually do what you have to do,ghi nhớ,/rɪˈmembə(r)/,to not forget to do something; to actually do what you have to do,This is Carla. Do you remember her?,verb,A1
repeat,to say or write something again or more than once,"nói lại, nhắc lại; lặp lại",/rɪˈpiːt/,to say or write something again or more than once,Listen and repeat after me!,verb,A1
report,"a written or spoken account of an event, especially one that is published or broadcast","bản báo cáo, bản tường thuật; biên bản",/rɪˈpɔːt/,"a written or spoken account of an event, especially one that is published or broadcast",Are these news reports true?,noun,A1
restaurant,a place where you can buy and eat a meal,"hàng ăn, tiệm ăn, nhà hàng",/ˈrestrɒnt/,a place where you can buy and eat a meal,We're going to try this Italian restaurant that just opened.,noun,A1
result,a thing that is caused or produced because of something else,kết quả,/rɪˈzʌlt/,a thing that is caused or produced because of something else,And did your intervention produce the desired result?,noun,A1
return,to come or go back from one place to another,"trở lại, trở về",/rɪˈtɜːn/,to come or go back from one place to another,I waited a long time for him to return.,verb,A1
rice,"short, narrow white or brown grain grown on wet land in hot countries as food; the plant that produces this grain",lúa; gạo; cơm,/raɪs/,"short, narrow white or brown grain grown on wet land in hot countries as food; the plant that produces this grain",I'm going to make some fried rice for dinner tonight.,noun,A1
rich,having a lot of money or property,"giàu, giàu có, có nhiều tiền, có của cải",/rɪtʃ/,having a lot of money or property,She's one of the richest women in the world.,adjective,A1
ride,"to sit on an animal, especially a horse, and control it as it moves","đạp (xe), cưỡi (ngựa)",/raɪd/,"to sit on an animal, especially a horse, and control it as it moves",I'm going to ride my bike to the park this afternoon.,verb,A1
right,true or correct as a fact,"đúng, phải",/raɪt/,true or correct as a fact,Did you get the answer right?,adjective,A1
river,a natural flow of water that continues in a long line across land to the sea,"sông, dòng sông",/ˈrɪvə(r)/,a natural flow of water that continues in a long line across land to the sea,Eventually we came to the mouth of the River Thames.,noun,A1
road,a hard surface built for vehicles to travel on,(con) đường,/rəʊd/,a hard surface built for vehicles to travel on,The road is closed due to construction.,noun,A1
room,"a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose",phòng,/ruːm/ /rʊm/,"a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose",I heard him enter the room.,noun,A1
routine,a situation in which life is boring because things are always done in the same way,"thói quen, công việc thường làm hằng ngày",/ruːˈtiːn/,a situation in which life is boring because things are always done in the same way,I have a morning routine that helps me start the day off right.,noun,B1
rule,"a statement of what may, must or must not be done in a particular situation or when playing a game","phép tắc, quy tắc, nguyên tắc; quy luật; điều lệ, luật lệ",/ruːl/,"a statement of what may, must or must not be done in a particular situation or when playing a game","She laid down strict rules for her tenants, including prompt payment of rent.",noun,A1
run,"to move using your legs, going faster than when you walk",chạy,/rʌn/,"to move using your legs, going faster than when you walk",Can you run as fast as Mike?,verb,A1
sad,unhappy or showing unhappiness,buồn,/sæd/,unhappy or showing unhappiness,We are very sad to hear that you are leaving.,adjective,A1
salad,"a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal","món rau củ trộn, sa-lát",/ˈsæləd/,"a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal",All main courses come with salad or vegetables.,noun,A1
salt,a white substance that is added to food to make it taste better or to preserve it. Salt is obtained from mines and is also found in seawater,muối,/sɔːlt/ /sɒlt/,a white substance that is added to food to make it taste better or to preserve it. Salt is obtained from mines and is also found in seawater,"Pass the salt, please.",noun,A1
same,exactly the one or ones referred to or mentioned; not different,"cùng, giống",/seɪm/,exactly the one or ones referred to or mentioned; not different,We have lived in the same house for twenty years.,adjective,A1
sandwich,"two slices of bread, often spread with butter, with a layer of meat, cheese, etc. between them","bánh xăng-uých, bánh mì kẹp",/ˈsænwɪtʃ/ /ˈsænwɪdʒ/,"two slices of bread, often spread with butter, with a layer of meat, cheese, etc. between them",I like eating sandwich for breakfast.,noun,A1
school,a place where children go to be educated,trường học,/skuːl/,a place where children go to be educated,My brother and I went to the same school.,noun,A1
science,"knowledge about the structure and behaviour of the natural and physical world, based on facts that you can prove, for example by experiments",khoa học,/ˈsaɪəns/,"knowledge about the structure and behaviour of the natural and physical world, based on facts that you can prove, for example by experiments",Science has helped us make tremendous progress in the fields of medicine and technology.,noun,A1
